swimmer,grade,gender,event,time,team,opponent,meet_date
Emily Brown,10,F,Girls 500 Free,365.20,Seton,Opponent,2024-12-15
Amy Chen,11,F,Girls 500 Free,380.40,Seton,Opponent,2024-12-15
Lisa Park,9,F,Girls 500 Free,395.80,Seton,Opponent,2024-12-15
John Smith,11,M,Boys 200 Free Relay,98.50,Seton,Opponent,2024-12-15
Mike Johnson,10,M,Boys 200 Free Relay,98.50,Seton,Opponent,2024-12-15
Tom Wilson,12,M,Boys 200 Free Relay,98.50,Seton,Opponent,2024-12-15
Chris Lee,11,M,Boys 200 Free Relay,98.50,Seton,Opponent,2024-12-15
Sarah Davis,12,F,Girls 200 Free Relay,110.30,Seton,Opponent,2024-12-15
Emily Brown,10,F,Girls 200 Free Relay,110.30,Seton,Opponent,2024-12-15
Amy Chen,11,F,Girls 200 Free Relay,110.30,Seton,Opponent,2024-12-15
Lisa Park,9,F,Girls 200 Free Relay,110.30,Seton,Opponent,2024-12-15
Chris Lee,11,M,Boys 100 Back,62.45,Seton,Opponent,2024-12-15
Tom Wilson,12,M,Boys 100 Back,65.30,Seton,Opponent,2024-12-15
Mike Johnson,10,M,Boys 100 Back,68.80,Seton,Opponent,2024-12-15
John Smith,11,M,Boys 100 Back,72.20,Seton,Opponent,2024-12-15
Emily Brown,10,F,Girls 100 Back,68.50,Seton,Opponent,2024-12-15
Sarah Davis,12,F,Girls 100 Back,70.40,Seton,Opponent,2024-12-15
Amy Chen,11,F,Girls 100 Back,74.80,Seton,Opponent,2024-12-15
Lisa Park,9,F,Girls 100 Back,78.20,Seton,Opponent,2024-12-15
Mike Johnson,10,M,Boys 100 Breast,68.45,Seton,Opponent,2024-12-15
Chris Lee,11,M,Boys 100 Breast,72.30,Seton,Opponent,2024-12-15
Tom Wilson,12,M,Boys 100 Breast,76.80,Seton,Opponent,2024-12-15
John Smith,11,M,Boys 100 Breast,80.20,Seton,Opponent,2024-12-15
Amy Chen,11,F,Girls 100 Breast,75.50,Seton,Opponent,2024-12-15
Sarah Davis,12,F,Girls 100 Breast,78.40,Seton,Opponent,2024-12-15
Emily Brown,10,F,Girls 100 Breast,82.80,Seton,Opponent,2024-12-15
Lisa Park,9,F,Girls 100 Breast,86.20,Seton,Opponent,2024-12-15
John Smith,11,M,Boys 400 Free Relay,205.50,Seton,Opponent,2024-12-15
Mike Johnson,10,M,Boys 400 Free Relay,205.50,Seton,Opponent,2024-12-15
Tom Wilson,12,M,Boys 400 Free Relay,205.50,Seton,Opponent,2024-12-15
Chris Lee,11,M,Boys 400 Free Relay,205.50,Seton,Opponent,2024-12-15
Sarah Davis,12,F,Girls 400 Free Relay,230.30,Seton,Opponent,2024-12-15
Emily Brown,10,F,Girls 400 Free Relay,230.30,Seton,Opponent,2024-12-15
Amy Chen,11,F,Girls 400 Free Relay,230.30,Seton,Opponent,2024-12-15
Lisa Park,9,F,Girls 400 Free Relay,230.30,Seton,Opponent,2024-12-15
Peter Young,7,M,Boys 50 Free,32.50,Seton,Opponent,2024-12-15
Alex Martin,6,M,Boys 100 Free,78.30,Seton,Opponent,2024-12-15
Sophia Hall,7,F,Girls 50 Free,35.80,Seton,Opponent,2024-12-15
Emma Lewis,6,F,Girls 100 Free,82.40,Seton,Opponent,2024-12-15
